                          MNLogit Regression Results                          
==============================================================================
Dep. Variable:                      y   No. Observations:                17045
Model:                        MNLogit   Df Residuals:                    16955
Method:                           MLE   Df Model:                           85
Date:                Fri, 04 Sep 2026   Pseudo R-squ.:                  0.1823
Time:                        14:52:07   Log-Likelihood:                -21121.
converged:                       True   LL-Null:                       -25830.
Covariance Type:            nonrobust   LLR p-value:                     0.000
==========================================================================================
                   y=1       coef    std err          z      P>|z|      [0.025      0.975]
------------------------------------------------------------------------------------------
const                      2.3950      0.213     11.232      0.000       1.977       2.813
period_late               -0.2180      0.047     -4.683      0.000      -0.309      -0.127
subj_type_econ             0.2735      0.155      1.770      0.077      -0.029       0.576
subj_type_fed             -0.4050      0.385     -1.052      0.293      -1.159       0.349
subj_type_it_there_rel     1.1371      0.152      7.466      0.000       0.839       1.436
subj_type_none             1.4064      0.278      5.062      0.000       0.862       1.951
subj_type_other            0.6549      0.154      4.254      0.000       0.353       0.957
subj_type_person           1.1775      0.166      7.076      0.000       0.851       1.504
subj_type_risks            3.1198      2.415      1.292      0.196      -1.613       7.852
subj_type_we_I             1.5015      0.153      9.844      0.000       1.203       1.800
layer_min_participants     1.0498      0.252      4.168      0.000       0.556       1.543
layer_min_special         -0.9993      0.230     -4.353      0.000      -1.449      -0.549
layer_min_staff            0.1925      0.310      0.622      0.534      -0.415       0.800
layer_min_staff_desk      -0.7433      0.248     -2.996      0.003      -1.230      -0.257
layer_pc_chair            -3.8559      0.178    -21.620      0.000      -4.205      -3.506
layer_statement           -5.3129      0.230    -23.140      0.000      -5.763      -4.863
cond                       0.5651      0.056     10.034      0.000       0.455       0.676
reported                  -0.0279      0.055     -0.507      0.612      -0.136       0.080
------------------------------------------------------------------------------------------
                   y=2       coef    std err          z      P>|z|      [0.025      0.975]
------------------------------------------------------------------------------------------
const                      0.0296      0.267      0.111      0.912      -0.493       0.553
period_late               -0.1204      0.063     -1.926      0.054      -0.243       0.002
subj_type_econ             0.8064      0.195      4.137      0.000       0.424       1.188
subj_type_fed              0.0379      0.473      0.080      0.936      -0.890       0.965
subj_type_it_there_rel     1.8243      0.192      9.494      0.000       1.448       2.201
subj_type_none             1.5823      0.358      4.425      0.000       0.881       2.283
subj_type_other            1.3028      0.193      6.748      0.000       0.924       1.681
subj_type_person           1.2886      0.219      5.893      0.000       0.860       1.717
subj_type_risks            4.2766      2.424      1.764      0.078      -0.475       9.028
subj_type_we_I             0.1397      0.218      0.642      0.521      -0.287       0.566
layer_min_participants     2.5425      0.275      9.253      0.000       2.004       3.081
layer_min_special          0.7750      0.256      3.032      0.002       0.274       1.276
layer_min_staff            1.1090      0.336      3.299      0.001       0.450       1.768
layer_min_staff_desk       0.3677      0.279      1.318      0.188      -0.179       0.915
layer_pc_chair            -3.1166      0.212    -14.711      0.000      -3.532      -2.701
layer_statement           -3.4832      0.257    -13.570      0.000      -3.986      -2.980
cond                       1.0737      0.070     15.341      0.000       0.937       1.211
reported                  -0.7379      0.073    -10.067      0.000      -0.882      -0.594
------------------------------------------------------------------------------------------
                   y=3       coef    std err          z      P>|z|      [0.025      0.975]
------------------------------------------------------------------------------------------
const                     -5.1082      0.936     -5.459      0.000      -6.942      -3.274
period_late                0.1374      0.069      1.992      0.046       0.002       0.273
subj_type_econ             2.0785      0.727      2.860      0.004       0.654       3.503
subj_type_fed              3.4487      0.779      4.430      0.000       1.923       4.975
subj_type_it_there_rel     2.2363      0.724      3.088      0.002       0.817       3.656
subj_type_none             5.2892      0.745      7.097      0.000       3.828       6.750
subj_type_other            2.4068      0.725      3.318      0.001       0.985       3.828
subj_type_person           3.9813      0.724      5.496      0.000       2.562       5.401
subj_type_risks            5.5272      2.652      2.084      0.037       0.330      10.725
subj_type_we_I             2.8162      0.722      3.900      0.000       1.401       4.232
layer_min_participants     1.4332      0.726      1.973      0.048       0.010       2.857
layer_min_special          1.8387      0.663      2.775      0.006       0.540       3.137
layer_min_staff            0.7648      0.969      0.790      0.430      -1.133       2.663
layer_min_staff_desk       0.6926      0.775      0.894      0.371      -0.826       2.211
layer_pc_chair             1.1372      0.610      1.865      0.062      -0.058       2.333
layer_statement           -1.7450      0.794     -2.198      0.028      -3.301      -0.189
cond                       0.2866      0.078      3.657      0.000       0.133       0.440
reported                  -0.1921      0.081     -2.386      0.017      -0.350      -0.034
------------------------------------------------------------------------------------------
                   y=4       coef    std err          z      P>|z|      [0.025      0.975]
------------------------------------------------------------------------------------------
const                      0.8258      0.257      3.219      0.001       0.323       1.329
period_late               -0.4494      0.079     -5.698      0.000      -0.604      -0.295
