                          MNLogit Regression Results                          
==============================================================================
Dep. Variable:                      y   No. Observations:                19478
Model:                        MNLogit   Df Residuals:                    19388
Method:                           MLE   Df Model:                           85
Date:                Fri, 04 Sep 2026   Pseudo R-squ.:                  0.1524
Time:                        14:52:54   Log-Likelihood:                -25748.
converged:                       True   LL-Null:                       -30379.
Covariance Type:            nonrobust   LLR p-value:                     0.000
==========================================================================================
                   y=1       coef    std err          z      P>|z|      [0.025      0.975]
------------------------------------------------------------------------------------------
const                      2.2075      0.216     10.208      0.000       1.784       2.631
period_late               -0.3283      0.043     -7.574      0.000      -0.413      -0.243
subj_type_econ             0.6025      0.164      3.681      0.000       0.282       0.923
subj_type_fed              0.3101      0.338      0.917      0.359      -0.353       0.973
subj_type_it_there_rel     1.2092      0.163      7.432      0.000       0.890       1.528
subj_type_none             1.4736      0.265      5.551      0.000       0.953       1.994
subj_type_other            0.9278      0.163      5.708      0.000       0.609       1.246
subj_type_person           1.2434      0.173      7.204      0.000       0.905       1.582
subj_type_risks            3.8083      2.627      1.450      0.147      -1.340       8.957
subj_type_we_I             1.4381      0.162      8.897      0.000       1.121       1.755
layer_min_participants     1.0068      0.251      4.014      0.000       0.515       1.498
layer_min_special         -1.0113      0.229     -4.414      0.000      -1.460      -0.562
layer_min_staff            0.1318      0.310      0.426      0.670      -0.475       0.739
layer_min_staff_desk      -0.7483      0.247     -3.027      0.002      -1.233      -0.264
layer_pc_chair            -3.6262      0.176    -20.549      0.000      -3.972      -3.280
layer_speech_chair        -3.9773      0.182    -21.871      0.000      -4.334      -3.621
cond                       0.4399      0.051      8.601      0.000       0.340       0.540
reported                   0.0310      0.052      0.602      0.547      -0.070       0.132
------------------------------------------------------------------------------------------
                   y=2       coef    std err          z      P>|z|      [0.025      0.975]
------------------------------------------------------------------------------------------
const                      0.2174      0.266      0.818      0.413      -0.303       0.738
period_late               -0.2740      0.058     -4.734      0.000      -0.387      -0.161
subj_type_econ             0.7986      0.199      4.019      0.000       0.409       1.188
subj_type_fed              0.2265      0.425      0.533      0.594      -0.606       1.059
subj_type_it_there_rel     1.4690      0.198      7.413      0.000       1.081       1.857
subj_type_none             1.4130      0.330      4.278      0.000       0.766       2.060
subj_type_other            1.1980      0.197      6.086      0.000       0.812       1.584
subj_type_person           1.1219      0.216      5.186      0.000       0.698       1.546
subj_type_risks            4.4992      2.633      1.708      0.088      -0.662       9.661
subj_type_we_I            -0.1901      0.215     -0.884      0.377      -0.611       0.231
layer_min_participants     2.5283      0.273      9.252      0.000       1.993       3.064
layer_min_special          0.7846      0.254      3.086      0.002       0.286       1.283
layer_min_staff            1.0722      0.335      3.198      0.001       0.415       1.729
layer_min_staff_desk       0.3984      0.277      1.437      0.151      -0.145       0.942
layer_pc_chair            -2.8752      0.210    -13.716      0.000      -3.286      -2.464
layer_speech_chair        -2.3767      0.214    -11.101      0.000      -2.796      -1.957
cond                       0.8333      0.064     13.107      0.000       0.709       0.958
reported                  -0.6652      0.069     -9.640      0.000      -0.800      -0.530
------------------------------------------------------------------------------------------
                   y=3       coef    std err          z      P>|z|      [0.025      0.975]
------------------------------------------------------------------------------------------
const                     -4.6329      0.777     -5.961      0.000      -6.156      -3.110
period_late                0.0254      0.059      0.428      0.669      -0.091       0.142
subj_type_econ             1.8628      0.513      3.634      0.000       0.858       2.867
subj_type_fed              3.2889      0.560      5.871      0.000       2.191       4.387
subj_type_it_there_rel     1.8817      0.511      3.679      0.000       0.879       2.884
subj_type_none             4.7607      0.535      8.892      0.000       3.711       5.810
subj_type_other            2.1881      0.511      4.283      0.000       1.187       3.189
subj_type_person           3.4494      0.512      6.742      0.000       2.447       4.452
subj_type_risks            6.3065      2.689      2.345      0.019       1.036      11.577
subj_type_we_I             2.2821      0.509      4.484      0.000       1.285       3.280
layer_min_participants     1.3319      0.719      1.853      0.064      -0.077       2.740
layer_min_special          1.7554      0.653      2.688      0.007       0.475       3.035
layer_min_staff            0.5934      0.960      0.618      0.537      -1.289       2.475
layer_min_staff_desk       0.6145      0.767      0.801      0.423      -0.889       2.118
layer_pc_chair             1.2118      0.600      2.021      0.043       0.036       2.387
layer_speech_chair         1.5024      0.602      2.497      0.013       0.323       2.682
cond                       0.2384      0.068      3.528      0.000       0.106       0.371
reported                  -0.2836      0.074     -3.813      0.000      -0.429      -0.138
------------------------------------------------------------------------------------------
                   y=4       coef    std err          z      P>|z|      [0.025      0.975]
------------------------------------------------------------------------------------------
const                      0.8345      0.254      3.284      0.001       0.336       1.332
period_late               -0.4953      0.074     -6.667      0.000      -0.641      -0.350
subj_type_econ            -0.2619      0.192     -1.362      0.173      -0.639       0.115
subj_type_fed              0.3942      0.372      1.060      0.289      -0.335       1.123
subj_type_it_there_rel    -0.3691      0.198     -1.863      0.062      -0.757       0.019
subj_type_none             0.7815      0.341      2.295      0.022       0.114       1.449
subj_type_other            0.1604      0.189      0.850      0.395      -0.209       0.530
subj_type_person           0.2212      0.211      1.050      0.294      -0.192       0.634
subj_type_risks            4.2562      2.635      1.615      0.106      -0.909       9.422
subj_type_we_I            -0.7345      0.200     -3.674      0.000      -1.126      -0.343
layer_min_participants     0.8720      0.282      3.089      0.002       0.319       1.425
layer_min_special         -0.6306      0.278     -2.266      0.023      -1.176      -0.085
layer_min_staff           -1.8197      0.551     -3.300      0.001      -2.900      -0.739
layer_min_staff_desk      -0.9864      0.325     -3.037      0.002      -1.623      -0.350
layer_pc_chair            -2.4270      0.212    -11.445      0.000      -2.843      -2.011
layer_speech_chair        -2.3300      0.220    -10.589      0.000      -2.761      -1.899
cond                       0.0396      0.093      0.427      0.669      -0.142       0.221
reported                   0.2996      0.083      3.608      0.000       0.137       0.462
------------------------------------------------------------------------------------------
                   y=5       coef    std err          z      P>|z|      [0.025      0.975]
------------------------------------------------------------------------------------------
const                     -1.9475      0.514     -3.789      0.000      -2.955      -0.940
period_late               -0.3473      0.072     -4.852      0.000      -0.488      -0.207
subj_type_econ             2.2162      0.465      4.762      0.000       1.304       3.128
subj_type_fed              0.5802      0.870      0.667      0.505      -1.126       2.286
subj_type_it_there_rel     2.6717      0.465      5.743      0.000       1.760       3.583
subj_type_none             2.5154      0.573      4.392      0.000       1.393       3.638
